scores	parameters
0.88125	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fcf4265c860>, 'model__priors': None, 'model__var_smoothing': 1e-07
0.875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fcf4265c860>, 'model__priors': None, 'model__var_smoothing': 1e-09
0.875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fcf4265c860>, 'model__priors': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333], 'model__var_smoothing': 1e-07
0.86875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fcf4265c860>, 'model__priors': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333], 'model__var_smoothing': 1e-09
0.83125	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fcf4265c860>, 'model__priors': None, 'model__var_smoothing': 1e-09
0.83125	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fcf4265c860>, 'model__priors': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333], 'model__var_smoothing': 1e-09
0.81875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fcf4265c860>, 'model__priors': None, 'model__var_smoothing': 1e-07
0.81875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fcf4265c860>, 'model__priors': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333], 'model__var_smoothing': 1e-07
