phenotype	TN	FP	FN	TP	support	accuracy	sensitivity	specificity	precision	recall	f1-score	MCC	ROC-AUC	PR-AUC	PRG-AUC	PRG-AUC_clipped
fruit	104	0	17	39	56	0.89375	0.696429	1.0	1.0	0.696429	0.821053	0.773682	0.848214	0.802679	0.766484	0.766484
pig	90	14	3	53	56	0.89375	0.946429	0.865385	0.791045	0.946429	0.861789	0.784852	0.927799	0.788667	0.823204	0.823204
poultry	106	6	0	48	48	0.9625	1.0	0.946429	0.888889	1.0	0.941177	0.917208	0.988839	0.950886	0.959496	0.959496
