scores	parameters
0.89375	'feature_selection__estimator__max_depth': 5, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100
0.89375	'feature_selection__estimator__max_depth': 5, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200
0.89375	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100
0.89375	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100
0.89375	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200
0.88125	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200
0.875	'feature_selection__estimator__max_depth': 5, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100
0.875	'feature_selection__estimator__max_depth': 5, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200
