phenotype	TN	FP	FN	TP	support	accuracy	sensitivity	specificity	precision	recall	f1-score	MCC	ROC-AUC	PR-AUC	PRG-AUC	PRG-AUC_clipped
fruit	97	7	6	50	56	0.91875	0.892857	0.932692	0.877193	0.892857	0.884956	0.822238	0.987981	0.976883	0.954155	0.954155
pig	100	4	3	53	56	0.95625	0.946429	0.961538	0.929825	0.946429	0.938054	0.904325	0.995192	0.987038	0.980211	0.980211
poultry	110	2	4	44	48	0.9625	0.916667	0.982143	0.956522	0.916667	0.936171	0.910051	0.992932	0.978977	0.964418	0.964418
