phenotype	TN	FP	FN	TP	support	accuracy	sensitivity	specificity	precision	recall	f1-score	MCC	ROC-AUC	PR-AUC	PRG-AUC	PRG-AUC_clipped
fruit	97	7	6	50	56	0.91875	0.892857	0.932692	0.877193	0.892857	0.884956	0.822238	0.982057	0.954954	0.928625	0.928625
pig	100	4	3	53	56	0.95625	0.946429	0.961538	0.929825	0.946429	0.938054	0.904325	0.992359	0.980163	0.972075	0.972075
poultry	110	2	4	44	48	0.9625	0.916667	0.982143	0.956522	0.916667	0.936171	0.910051	0.99256	0.975543	0.971347	0.971347
