phenotype	TN	FP	FN	TP	support	accuracy	sensitivity	specificity	precision	recall	f1-score	MCC	ROC-AUC	PR-AUC	PRG-AUC	PRG-AUC_clipped
fruit	104	0	7	49	56	0.95625	0.875	1.0	1.0	0.875	0.933333	0.905439	0.988152	0.977819	0.960095	0.960095
pig	95	9	0	56	56	0.94375	1.0	0.913462	0.861538	1.0	0.92562	0.88712	0.98489	0.962889	0.934949	0.934949
poultry	110	2	4	44	48	0.9625	0.916667	0.982143	0.956522	0.916667	0.936171	0.910051	0.989955	0.968526	0.955236	0.955236
