phenotype	TN	FP	FN	TP	support	accuracy	sensitivity	specificity	precision	recall	f1-score	MCC	ROC-AUC	PR-AUC	PRG-AUC	PRG-AUC_clipped
fruit	104	0	7	49	56	0.95625	0.875	1.0	1.0	0.875	0.933333	0.905439	0.992016	0.982659	0.969972	0.969972
pig	100	4	3	53	56	0.95625	0.946429	0.961538	0.929825	0.946429	0.938054	0.904325	0.994935	0.986317	0.979358	0.979358
poultry	106	6	0	48	48	0.9625	1.0	0.946429	0.888889	1.0	0.941177	0.917208	0.99628	0.987118	0.983158	0.983158
