phenotype	TN	FP	FN	TP	support	accuracy	sensitivity	specificity	precision	recall	f1-score	MCC
fruit	101	3	3	53	56	0.9625	0.946429	0.971154	0.946429	0.946429	0.946429	0.917582
pig	97	7	0	56	56	0.95625	1.0	0.932692	0.888889	1.0	0.941177	0.910527
poultry	112	0	7	41	48	0.95625	0.854167	1.0	1.0	0.854167	0.921349	0.896617
