phenotype	TN	FP	FN	TP	support	accuracy	sensitivity	specificity	precision	recall	f1-score	MCC	ROC-AUC	PR-AUC	PRG-AUC	PRG-AUC_clipped
fruit	104	0	7	49	56	0.95625	0.875	1.0	1.0	0.875	0.933333	0.905439	0.993819	0.985047	0.975689	0.975689
pig	96	8	0	56	56	0.95	1.0	0.923077	0.875	1.0	0.933333	0.898717	0.995192	0.987038	0.980211	0.980211
poultry	110	2	3	45	48	0.96875	0.9375	0.982143	0.957447	0.9375	0.947369	0.925253	0.997024	0.989509	0.986582	0.986582
