scores	parameters
0.9125	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__estimator__penalty': 'elasticnet', 'feature_selection__estimator__solver': 'saga', 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__C': 1.0, 'model__l1_ratio': 0.3, 'model__max_iter': 3000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.9125	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__estimator__penalty': 'elasticnet', 'feature_selection__estimator__solver': 'saga', 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__C': 1.0, 'model__l1_ratio': 0.7, 'model__max_iter': 3000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.9125	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__estimator__penalty': 'elasticnet', 'feature_selection__estimator__solver': 'saga', 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__C': 1.0, 'model__l1_ratio': 0.3, 'model__max_iter': 3000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.9125	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__estimator__penalty': 'elasticnet', 'feature_selection__estimator__solver': 'saga', 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__C': 1.0, 'model__l1_ratio': 0.7, 'model__max_iter': 3000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.86875	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__estimator__penalty': 'elasticnet', 'feature_selection__estimator__solver': 'saga', 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__C': 0.1, 'model__l1_ratio': 0.3, 'model__max_iter': 3000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.86875	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__estimator__penalty': 'elasticnet', 'feature_selection__estimator__solver': 'saga', 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__C': 0.1, 'model__l1_ratio': 0.7, 'model__max_iter': 3000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.86875	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__estimator__penalty': 'elasticnet', 'feature_selection__estimator__solver': 'saga', 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__C': 0.1, 'model__l1_ratio': 0.3, 'model__max_iter': 3000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.86875	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__estimator__penalty': 'elasticnet', 'feature_selection__estimator__solver': 'saga', 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__C': 0.1, 'model__l1_ratio': 0.7, 'model__max_iter': 3000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
