phenotype	TN	FP	FN	TP	support	accuracy	sensitivity	specificity	precision	recall	f1-score	MCC	ROC-AUC	PR-AUC	PRG-AUC	PRG-AUC_clipped
fruit	104	0	7	49	56	0.95625	0.875	1.0	1.0	0.875	0.933333	0.905439	0.993819	0.985047	0.975689	0.975689
pig	100	4	3	53	56	0.95625	0.946429	0.961538	0.929825	0.946429	0.938054	0.904325	0.995192	0.987038	0.980211	0.980211
poultry	106	6	0	48	48	0.9625	1.0	0.946429	0.888889	1.0	0.941177	0.917208	0.997024	0.989509	0.986582	0.986582
