phenotype	TN	FP	FN	TP	support	accuracy	sensitivity	specificity	precision	recall	f1-score	MCC	ROC-AUC	PR-AUC	PRG-AUC	PRG-AUC_clipped
fruit	104	0	7	49	56	0.95625	0.875	1.0	1.0	0.875	0.933333	0.905439	0.993819	0.985047	0.975689	0.975689
pig	92	12	3	53	56	0.90625	0.946429	0.884615	0.815385	0.946429	0.876033	0.807079	0.978709	0.950984	0.91444	0.91444
poultry	106	6	8	40	48	0.9125	0.833333	0.946429	0.869565	0.833333	0.851064	0.789515	0.982329	0.948107	0.9258	0.9258
