scores	parameters
0.89375	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__penalty': 'l2', 'feature_selection__estimator__solver': 'lbfgs', 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__max_depth': 10, 'model__n_estimators': 200
0.88125	'feature_selection__estimator__C': 0.5, 'feature_selection__estimator__penalty': 'l2', 'feature_selection__estimator__solver': 'lbfgs', 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__max_depth': 10, 'model__n_estimators': 200
0.88125	'feature_selection__estimator__C': 0.5, 'feature_selection__estimator__penalty': 'l2', 'feature_selection__estimator__solver': 'lbfgs', 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__max_depth': 10, 'model__n_estimators': 200
0.88125	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__penalty': 'l2', 'feature_selection__estimator__solver': 'lbfgs', 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__max_depth': 10, 'model__n_estimators': 200
0.875	'feature_selection__estimator__C': 0.5, 'feature_selection__estimator__penalty': 'l2', 'feature_selection__estimator__solver': 'lbfgs', 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__max_depth': None, 'model__n_estimators': 200
0.875	'feature_selection__estimator__C': 0.5, 'feature_selection__estimator__penalty': 'l2', 'feature_selection__estimator__solver': 'lbfgs', 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__max_depth': None, 'model__n_estimators': 200
0.875	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__penalty': 'l2', 'feature_selection__estimator__solver': 'lbfgs', 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__max_depth': None, 'model__n_estimators': 200
0.875	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__penalty': 'l2', 'feature_selection__estimator__solver': 'lbfgs', 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__max_depth': None, 'model__n_estimators': 200
