phenotype	TN	FP	FN	TP	support	accuracy	sensitivity	specificity	precision	recall	f1-score	MCC	ROC-AUC	PR-AUC	PRG-AUC	PRG-AUC_clipped
fruit	97	7	6	50	56	0.91875	0.892857	0.932692	0.877193	0.892857	0.884956	0.822238	0.97227	0.964931	0.924471	0.924471
pig	100	4	3	53	56	0.95625	0.946429	0.961538	0.929825	0.946429	0.938054	0.904325	0.964715	0.872493	0.835741	0.835741
poultry	110	2	4	44	48	0.9625	0.916667	0.982143	0.956522	0.916667	0.936171	0.910051	0.981399	0.896897	0.895516	0.895516
